x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,57.542176339835784,3,2,15,0.3855445084962878,0.9080646987048056,"[1, 7]",0.38445243215560915,0.0005381082361394443,5.938144329896907e-08,0.0010920763406786274,0.0005381082361394443,1.1876288659793815e-07
2,57.542176339835784,3,2,15,0.3855445084962878,0.9080646987048056,"[1, 7]",0.38445243215560915,0.0005381082361394443,5.938144329896907e-08,0.0010920763406786274,0.0005381082361394443,1.1876288659793815e-07
3,57.542176339835784,3,2,15,0.3855445084962878,0.9080646987048056,"[1, 7]",0.38445243215560915,0.0005381082361394443,5.938144329896907e-08,0.0010920763406786274,0.0005381082361394443,1.1876288659793815e-07
5,57.542176339835784,3,2,15,0.3855445084962878,0.9080646987048056,"[1, 7]",0.38445243215560915,0.0005381082361394443,5.938144329896907e-08,0.0010920763406786274,0.0005381082361394443,1.1876288659793815e-07
9,57.515839095760214,3,2,15,0.38578366771234984,0.9080646987048056,"[1, 7]",0.38445243215560915,0.0005381082361394443,5.938144329896907e-08,0.0010920763406786274,0.0005381082361394443,1.1876288659793815e-07
17,57.47551706582472,5,4,15,0.38620444716303254,0.9081931643021929,"[1, 4, 7, 10]",0.38445243215560915,0.00028042345913972154,5.938144329896907e-08,0.0010921951035652254,0.00028042345913972154,2.375257731958763e-07
33,57.42200680550999,14,13,15,0.3869315924671996,0.908759580799764,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
65,57.32359220472682,14,13,15,0.388318023242235,0.9099126269133765,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
129,57.12801013774295,14,13,15,0.39109088479230597,0.9122293741177809,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
257,56.740470356785146,14,13,15,0.39663660789244776,0.9168768388462106,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
513,55.97810343370075,14,13,15,0.40772805409273144,0.9261937487828856,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1025,54.49854676894847,14,13,15,0.42991094649329864,0.9448290460312482,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1512,53.144387387211154,14,13,15,0.4510106898508695,0.9625542484696273,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1756,52.48449364100117,14,13,15,0.4615822245105148,0.9714349269964099,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1878,52.159084759817645,14,13,15,0.46686799184033745,0.9758759620221635,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1939,51.99748474782655,14,13,15,0.4695108755052488,0.9780964039878938,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1969,51.91827447225109,14,13,15,0.47081065435684455,0.9791883489812163,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1984,51.878735553247544,14,13,15,0.47146054378264246,0.9797343216205944,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1992,51.85765896411658,14,13,15,0.47180715147640134,0.9800253608870717,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1996,51.84710925963116,14,13,15,0.4719804553232808,0.9801705527257106,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1998,51.841865144157175,14,13,15,0.4720671072467205,0.9802437504272377,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
1999,51.83924068162607,14,13,15,0.47211043320844037,0.980280294352262,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38445243215560915,8.66519234397159e-05,5.938144329896907e-08,0.0010927295365549161,8.66519234397159e-05,7.719587628865981e-07
